book_id,series_id,book_number
B1,S1,1
B2,S1,2
B3,S1,3
B4,S1,4
B5,S1,5
B6,S1,6
B7,S1,7
B8,S2,1
B9,S2,2
B10,S2,3
B11,S2,4
B12,S2,5
B13,S3,1
B14,S3,2
B15,S3,3
B16,S4,1
B17,S4,2
B18,S4,3
B19,S4,4
B20,S4,5
B21,S7,1
B22,S7,2
B23,S7,3
B24,S5,1
B25,S6,1
B26,S6,2
B27,S6,3
B28,S5,2
B29,S5,3
B30,S5,4
B31,S5,5
B32,S5,6
B33,S5,7
B34,S5,8
B35,S6,4
B36,S6,5
B37,S5,9
B38,S5,10
B39,S5,11
B40,S5,12
B41,S5,13
B42,S5,14
B43,S5,15
B44,S5,16
B45,S5,17
B46,S5,18
B47,S5,19
B48,S5,20
B49,S8,1
B50,S8,2
B51,S8,3
B52,S8,4
B53,S8,5
B54,S8,6
B55,S8,7
